"Path","Name","Width","Height","Length"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\props\prop_lantern_off.png","prop_lantern_off.png","16","24","198"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\props\prop_lantern_on.png","prop_lantern_on.png","192","294","63175"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\props\prop_manuscripts.png","prop_manuscripts.png","192","294","77512"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\props\prop_tree.png","prop_tree.png","192","294","92521"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\props\prop_well.png","prop_well.png","192","294","89023"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\props\tile_flagstone.png","tile_flagstone.png","192","294","86310"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\props\tile_grass.png","tile_grass.png","192","294","76843"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\props\tile_wall.png","tile_wall.png","16","16","194"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\badge_quality_1.png","badge_quality_1.png","200","60","697"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\badge_quality_2.png","badge_quality_2.png","200","60","638"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\badge_quality_3.png","badge_quality_3.png","200","60","696"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\badge_quality_4.png","badge_quality_4.png","200","60","791"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\badge_quality_5.png","badge_quality_5.png","200","60","762"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\badge_quality_6.png","badge_quality_6.png","200","60","690"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\btn_disabled.png","btn_disabled.png","160","44","10866"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\btn_fast.png","btn_fast.png","32","32","2803"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\btn_fast_active.png","btn_fast_active.png","32","32","2869"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\btn_pause.png","btn_pause.png","32","32","2261"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\btn_pause_active.png","btn_pause_active.png","32","32","2842"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\btn_play.png","btn_play.png","32","32","2822"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\btn_play_active.png","btn_play_active.png","32","32","2693"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\btn_primary.png","btn_primary.png","160","44","13978"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\btn_primary_hover.png","btn_primary_hover.png","160","44","15027"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\btn_secondary.png","btn_secondary.png","160","44","12429"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\btn_secondary_hover.png","btn_secondary_hover.png","160","44","15778"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\card_scholar.png","card_scholar.png","200","260","71726"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\indicator_critical.png","indicator_critical.png","40","60","2218"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\indicator_prosperous.png","indicator_prosperous.png","40","60","4165"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\indicator_stable.png","indicator_stable.png","40","60","3405"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\indicator_strained.png","indicator_strained.png","40","60","2600"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\logo_embers_of_memory.png","logo_embers_of_memory.png","600","200","237076"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\slider_thumb.png","slider_thumb.png","16","20","465"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\slider_track.png","slider_track.png","200","12","191"
"D:\VS Projects\Embers of Memory\embers-of-memory\public\assets\ui\ui_border_ornate.png","ui_border_ornate.png","1020","925","823204"
